[24.09.2014 17:56:49] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:56:49] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:58:38] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:58:38] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:58:38] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:58:38] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:58:38] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:58:38] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:59:42] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:59:42] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:59:42] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:59:42] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:59:42] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:59:42] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 18:00:06] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 18:00:06] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 18:00:06] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 18:00:06] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 18:00:06] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 18:00:06] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 18:04:13] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 18:04:13] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 18:04:13] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 18:04:13] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 18:04:13] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 18:04:13] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 18:05:00] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 18:05:00] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 18:05:00] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 18:05:00] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 18:05:00] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 18:05:00] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[27.09.2014 22:16:32] INFO  | Setting up components...
[27.09.2014 22:16:42] INFO  | Setting up components...
[27.09.2014 22:35:13] INFO  | Setting up components...
[28.09.2014 00:24:10] INFO  | Setting up components...
[28.09.2014 00:25:03] INFO  | Setting up components...
[03.10.2014 15:40:54] INFO  | Setting up components...
[03.10.2014 15:42:26] INFO  | Setting up components...
[03.10.2014 15:43:28] INFO  | Setting up components...
[03.10.2014 15:47:32] INFO  | Setting up components...
[03.10.2014 15:47:51] INFO  | Setting up components...
[03.10.2014 15:48:36] INFO  | Setting up components...
[03.10.2014 15:49:47] INFO  | Setting up components...
[03.10.2014 15:50:56] INFO  | Setting up components...
[03.10.2014 15:52:15] INFO  | Setting up components...
[03.10.2014 15:53:45] INFO  | Setting up components...
[03.10.2014 15:54:58] INFO  | Setting up components...
[03.10.2014 15:55:40] INFO  | Setting up components...
[03.10.2014 15:57:15] INFO  | Setting up components...
[03.10.2014 15:58:14] INFO  | Setting up components...
[03.10.2014 15:59:38] INFO  | Setting up components...
[03.10.2014 16:00:30] INFO  | Setting up components...
[03.10.2014 16:16:16] INFO  | Setting up components...
[03.10.2014 16:17:16] INFO  | Setting up components...
[03.10.2014 16:23:52] INFO  | Setting up components...
[03.10.2014 16:25:44] INFO  | Setting up components...
[03.10.2014 16:31:26] INFO  | Setting up components...
[03.10.2014 16:32:57] INFO  | Setting up components...
[03.10.2014 16:34:18] INFO  | Setting up components...
[03.10.2014 16:36:13] INFO  | Setting up components...
[03.10.2014 16:36:27] INFO  | Setting up components...
[03.10.2014 16:36:39] INFO  | Setting up components...
[03.10.2014 16:39:18] INFO  | Setting up components...
[03.10.2014 16:40:39] INFO  | Setting up components...
[03.10.2014 16:41:15] INFO  | Setting up components...
[03.10.2014 16:41:38] INFO  | Setting up components...
[03.10.2014 16:42:20] INFO  | Setting up components...
[03.10.2014 16:51:38] INFO  | Setting up components...
[03.10.2014 16:52:38] INFO  | Setting up components...
[03.10.2014 16:58:39] INFO  | Setting up components...
[03.10.2014 17:03:20] INFO  | Setting up components...
[03.10.2014 17:04:41] INFO  | Setting up components...
[03.10.2014 17:05:08] INFO  | Setting up components...
[03.10.2014 17:05:43] INFO  | Setting up components...
[03.10.2014 17:06:19] INFO  | Setting up components...
[03.10.2014 17:11:22] INFO  | Setting up components...
[03.10.2014 17:18:16] INFO  | Setting up components...
[03.10.2014 17:19:47] INFO  | Setting up components...
[03.10.2014 17:33:57] INFO  | Setting up components...
[03.10.2014 17:35:07] INFO  | Setting up components...
[03.10.2014 17:58:25] INFO  | Setting up components...
[04.10.2014 19:18:49] INFO  | Setting up components...
[04.10.2014 19:19:01] INFO  | Setting up components...
[04.10.2014 19:24:13] INFO  | Setting up components...
[04.10.2014 19:25:57] INFO  | Setting up components...
[04.10.2014 19:30:02] INFO  | Setting up components...
[04.10.2014 19:31:05] INFO  | Setting up components...
[04.10.2014 19:32:59] INFO  | Setting up components...
[04.10.2014 19:33:40] INFO  | Setting up components...
[04.10.2014 19:34:20] INFO  | Setting up components...
[04.10.2014 19:35:08] INFO  | Setting up components...
[04.10.2014 19:35:28] INFO  | Setting up components...
[04.10.2014 19:36:38] INFO  | Setting up components...
[04.10.2014 19:38:23] INFO  | Setting up components...
[04.10.2014 19:38:52] INFO  | Setting up components...
[04.10.2014 19:39:18] INFO  | Setting up components...
[04.10.2014 19:39:37] INFO  | Setting up components...
[04.10.2014 19:39:41] INFO  | Setting up components...
[05.10.2014 17:49:45] INFO  | Setting up components...
[05.10.2014 17:53:11] INFO  | Setting up components...
[05.10.2014 17:53:59] INFO  | Setting up components...
